time,finish_time,job_id,cpu_request,memory_request
1000000,3000000,0,0.020620607476242444,0.388258397487251
4000000,7000000,1,0.05230426208373428,0.058528187340620035
7000000,8000000,2,0.35277819082967915,0.3758111703209417
8000000,11000000,3,0.07791906638397418,0.28286259818503934
8000000,10000000,4,0.37629003508699493,0.0673401628426688
9000000,11000000,5,0.161437143787991,0.32221891955955
11000000,14000000,6,0.10806725597164422,0.26729776767300384
12000000,14000000,7,0.12514888507562127,0.3395257999046104
14000000,25000000,8,0.3772864193292386,0.22427521808944081
14000000,15000000,9,0.3611838661904661,0.2597284018703618
18000000,20000000,10,0.2144271685172967,0.520886719838357
19000000,20000000,11,0.08710615926129811,0.3042411726409669
21000000,23000000,12,0.14917475932787905,0.3533348564886848
21000000,22000000,13,0.20290165591049833,0.39387042358032753
22000000,25000000,14,0.09282857308273097,0.09560792594206674
24000000,25000000,15,0.24323001152476548,0.31776410258071286
26000000,29000000,16,0.09334140605833897,0.052403663766570775
27000000,35000000,17,0.4205760549431086,0.09745276478277842
28000000,33000000,18,0.01261772831710822,0.22955953875437096
29000000,30000000,19,0.13912469495277666,0.25507559695432014
30000000,32000000,20,0.11641018622385432,0.22165681187294026
30000000,33000000,21,0.4154506836452894,0.130670268699624
31000000,45000000,22,0.12588912566010307,0.1493892583027978
32000000,34000000,23,0.2533409734030165,0.06449329089692335
32000000,34000000,24,0.11111130351527197,0.19390147227281446
33000000,35000000,25,0.3158900801245322,0.3297025804768696
33000000,41000000,26,0.47521172005541507,0.18951739360579253
34000000,40000000,27,0.018765305674868712,0.42947618607140503
34000000,37000000,28,0.18322272553366056,0.06209926328678331
35000000,38000000,29,0.10692461024663528,0.1450293209330198
37000000,40000000,30,0.14185275728707358,0.11045553487116157
38000000,41000000,31,0.1370072414917036,0.14027090671062573
39000000,40000000,32,0.16015461111176013,0.10043705981388343
40000000,43000000,33,0.1741335706436161,0.2671314045042489
42000000,45000000,34,0.15117929116319867,0.2809677314360547
43000000,46000000,35,0.5296132014494663,0.44480318577086114
44000000,46000000,36,0.035006915505038205,0.48316203969311833
47000000,48000000,37,0.20110108969897936,0.3603259870109011
48000000,51000000,38,0.5063887290487016,0.2468376095319718
48000000,51000000,39,0.14924504095809402,0.07856410009583413
50000000,61000000,40,0.09886836703766554,0.30846236582311737
51000000,52000000,41,0.26537423378099556,0.1776969721794882
53000000,54000000,42,0.03853426191250674,0.25592835926905627
54000000,57000000,43,0.31569936892085304,0.029654789613583248
54000000,63000000,44,0.024777219893402574,0.2310770175482104
55000000,64000000,45,0.06049388171177647,0.10824620799923108
55000000,56000000,46,0.542019687350783,0.06212268006344432
56000000,62000000,47,0.5649751526252117,0.3539806744928575
58000000,63000000,48,0.41893640865326814,0.2733801259885874
58000000,60000000,49,0.16044682892865972,0.24364061378846116
62000000,63000000,50,0.4046828859869972,0.29368499830508726
64000000,66000000,51,0.4958678361344706,0.20870391713125339
66000000,73000000,52,0.4235265344249532,0.38331988523805305
67000000,70000000,53,0.24156796899419988,0.10426564098723275
69000000,82000000,54,0.06992617220646194,0.20545433003978172
70000000,73000000,55,0.15753615992061876,0.36236486358605285
71000000,75000000,56,0.522121587029133,0.16841449512221815
73000000,76000000,57,0.16954346521453914,0.09552982388429898
73000000,84000000,58,0.057621699451308676,0.052662067723162585
75000000,89000000,59,0.0910987157281587,0.2795839962560126
76000000,79000000,60,0.0746680896062286,0.06575307176487029
78000000,80000000,61,0.0037206351881415123,0.38798266029287237
78000000,91000000,62,0.43741182916235904,0.04372268057153858
79000000,93000000,63,0.07689930970025068,0.07515202842912791
81000000,82000000,64,0.16126328096785061,0.3236318472315535
81000000,84000000,65,0.1192598411399813,0.27053530525094815
