job_id,arrival_time,duration,res_0,res_1
0,0,15,1,1
1,0,15,1,1
2,0,15,1,1
3,0,15,1,1
4,0,12,1,1
5,1,15,1,1
6,2,15,1,1
7,2,1,1,1
8,2,15,1,1
9,2,15,1,1
10,2,15,1,1
11,2,15,1,1
12,2,6,1,1
13,3,15,1,1
14,3,3,1,1
15,3,15,1,1
16,4,15,1,1
17,4,15,1,1
18,4,15,1,1
19,4,15,1,1
20,4,15,1,1
21,4,12,1,1
22,4,15,1,1
23,4,15,1,1
24,4,15,1,1
25,5,15,1,1
26,5,15,1,1
27,5,15,1,1
28,5,15,1,1
29,5,15,1,1
30,5,15,1,1
31,5,15,1,1
32,5,15,1,1
33,5,11,1,1
34,5,15,1,1
35,5,15,1,1
36,5,15,1,1
37,6,15,1,1
38,6,15,1,1
39,6,15,1,1
40,6,15,1,1
41,6,15,1,1
42,6,15,1,1
43,6,2,1,1
44,6,3,1,1
45,7,15,1,1
46,7,3,1,1
47,7,15,1,1
48,8,15,1,1
49,8,15,1,1
50,8,15,1,1
51,8,15,1,1
52,8,15,1,1
53,8,15,1,1
54,8,15,1,1
55,8,1,1,1
56,8,15,1,1
57,8,15,1,1
58,8,15,1,1
59,8,9,1,1
60,8,15,1,1
61,8,15,1,1
62,8,15,1,1
63,9,7,1,1
64,9,4,1,1
65,9,15,1,1
66,9,6,1,1
67,9,11,1,1
68,9,15,1,1
69,9,6,1,1
70,9,15,1,1
71,9,15,1,1
72,10,15,1,1
73,10,15,1,1
74,10,15,1,1
75,10,15,1,1
76,10,15,1,1
77,10,2,1,1
78,10,10,1,1
79,10,7,1,1
80,10,2,1,1
81,10,15,1,1
82,12,15,1,1
83,12,15,1,1
84,12,8,1,1
85,12,9,1,1
86,12,15,1,1
87,12,15,1,1
88,12,8,1,1
89,12,4,1,1
90,12,5,1,1
91,13,15,1,1
92,13,15,1,1
93,13,15,1,1
94,13,15,1,1
95,13,10,1,1
96,14,15,1,1
97,14,15,1,1
98,14,15,1,1
99,15,15,1,1
100,15,3,1,1
101,15,15,1,1
102,16,15,1,1
103,16,15,1,1
104,16,15,1,1
105,16,15,1,1
106,16,15,1,1
107,16,15,1,1
108,16,6,1,1
109,16,15,1,1
110,16,1,1,1
111,16,6,1,1
112,16,15,1,1
113,16,15,1,1
114,16,15,1,1
115,16,15,1,1
116,16,15,1,1
117,16,15,1,1
118,16,1,1,1
119,16,15,1,1
120,16,15,1,1
121,19,2,1,1
122,19,15,1,1
123,20,4,1,1
124,20,15,1,1
125,20,15,1,1
126,20,15,1,1
127,20,15,1,1
128,20,15,1,1
129,21,15,1,1
130,21,15,1,1
131,21,15,1,1
132,21,15,1,1
133,21,15,1,1
134,23,15,1,1
135,23,15,1,1
136,23,4,1,1
137,24,5,1,1
138,24,15,1,1
139,24,15,1,1
140,24,15,1,1
141,24,15,1,1
142,24,9,1,1
143,24,4,1,1
144,24,15,1,1
145,24,15,1,1
146,25,15,1,1
147,25,15,1,1
148,25,15,1,1
149,25,15,1,1
150,25,15,1,1
151,25,15,1,1
152,25,15,1,1
153,25,15,1,1
154,25,15,1,1
155,25,15,1,1
156,25,15,1,1
157,25,15,1,1
158,25,15,1,1
159,25,15,1,1
160,25,15,1,1
161,25,15,1,1
162,25,15,1,1
163,25,15,1,1
164,25,15,1,1
165,25,15,1,1
166,25,15,1,1
167,25,15,1,1
168,25,15,1,1
169,25,15,1,1
170,25,15,1,1
171,25,15,1,1
172,25,15,1,1
173,25,15,1,1
174,25,15,1,1
175,25,15,1,1
176,25,15,1,1
177,25,15,1,1
178,25,15,1,1
179,25,15,1,1
180,25,15,1,1
181,25,15,1,1
182,25,15,1,1
183,25,15,1,1
184,25,15,1,1
185,25,15,1,1
186,25,15,1,1
187,25,1,1,1
188,25,1,1,1
189,25,1,1,1
190,25,1,1,1
191,25,1,1,1
192,25,1,1,1
193,25,1,1,1
194,25,1,1,1
195,25,1,1,1
196,25,1,1,1
197,25,1,1,1
198,25,1,1,1
199,25,1,1,1
200,25,1,1,1
201,25,1,1,1
202,25,1,1,1
203,25,1,1,1
204,25,1,1,1
205,25,11,1,1
206,25,15,1,1
207,25,1,1,1
208,26,15,1,1
209,26,15,1,1
210,26,15,1,1
211,26,2,1,1
212,26,15,1,1
213,26,3,1,1
214,26,15,1,1
215,26,15,1,1
216,27,3,1,1
217,27,8,1,1
218,27,15,1,1
219,27,15,1,1
220,27,15,1,1
221,27,10,1,1
222,27,15,1,1
223,28,15,1,1
224,28,15,1,1
225,28,15,1,1
226,28,4,1,1
227,28,11,1,1
228,28,15,1,1
229,28,15,1,1
230,28,15,1,1
231,28,7,1,1
232,28,7,1,1
233,29,15,1,1
234,29,15,1,1
235,29,15,1,1
236,29,15,1,1
237,29,10,1,1
238,30,15,1,1
239,30,15,1,1
240,30,15,1,1
241,30,15,1,1
242,30,7,1,1
243,30,1,1,1
244,30,6,1,1
245,30,15,1,1
246,30,11,1,1
247,30,15,1,1
248,30,15,1,1
249,31,15,1,1
250,31,15,1,1
251,31,7,1,1
252,31,15,1,1
253,32,6,1,1
254,32,15,1,1
255,33,15,1,1
256,33,15,1,1
257,33,15,1,1
258,33,13,1,1
259,34,10,1,1
260,34,10,1,1
261,34,15,1,1
262,34,15,1,1
263,35,9,1,1
264,35,11,1,1
265,36,13,1,1
266,36,15,1,1
267,36,15,1,1
268,36,15,1,1
269,36,15,1,1
270,36,6,1,1
271,36,15,1,1
272,36,15,1,1
273,36,10,1,1
274,36,15,1,1
275,37,6,1,1
276,37,10,1,1
277,37,15,1,1
278,37,13,1,1
279,37,6,1,1
280,37,15,1,1
281,37,2,1,1
282,37,15,1,1
283,37,15,1,1
284,38,8,1,1
285,38,15,1,1
286,38,10,1,1
287,38,15,1,1
288,38,10,1,1
289,38,15,1,1
290,38,15,1,1
291,39,9,1,1
292,39,15,1,1
293,40,1,1,1
294,40,15,1,1
295,40,9,1,1
296,40,15,1,1
297,40,8,1,1
298,40,15,1,1
299,41,15,1,1
300,42,15,1,1
301,42,15,1,1
302,43,15,1,1
303,43,15,1,1
304,43,1,1,1
305,44,8,1,1
306,44,1,1,1
307,44,11,1,1
308,44,15,1,1
309,44,9,1,1
310,44,5,1,1
311,44,11,1,1
312,44,15,1,1
313,45,15,1,1
314,45,1,1,1
315,45,1,1,1
316,45,15,1,1
317,45,15,1,1
318,45,15,1,1
319,45,15,1,1
320,45,15,1,1
321,45,15,1,1
322,46,1,1,1
323,46,1,1,1
324,46,1,1,1
325,46,7,1,1
326,46,15,1,1
327,46,15,1,1
328,46,15,1,1
329,46,15,1,1
330,46,15,1,1
331,46,15,1,1
332,46,1,1,1
333,46,1,1,1
334,47,1,1,1
335,47,15,1,1
336,47,3,1,1
337,47,15,1,1
338,47,15,1,1
339,47,15,1,1
340,47,15,1,1
341,47,15,1,1
342,47,15,1,1
343,47,3,1,1
344,47,15,1,1
345,47,15,1,1
346,47,1,1,1
347,47,1,1,1
348,48,1,1,1
349,48,1,1,1
350,48,15,1,1
351,48,15,1,1
352,48,1,1,1
353,50,1,1,1
354,50,1,1,1
355,50,1,1,1
356,50,1,1,1
357,50,15,1,1
358,50,15,1,1
359,50,1,1,1
360,51,1,1,1
361,51,15,1,1
362,51,15,1,1
363,51,9,1,1
364,51,15,1,1
365,52,1,1,1
366,52,1,1,1
367,53,15,1,1
368,53,1,1,1
369,55,3,1,1
370,55,15,1,1
371,55,1,1,1
372,55,2,1,1
373,55,15,1,1
374,56,1,1,1
375,57,1,1,1
376,58,15,3,1
377,59,4,1,1
378,59,1,1,1
379,59,1,1,1
380,60,3,1,1
381,63,1,1,1
382,63,11,1,1
383,63,1,1,1
384,63,1,1,1
385,64,1,1,1
386,64,1,1,1
387,65,1,1,1
388,66,1,1,1
389,67,15,1,1
390,67,15,1,1
391,68,1,1,1
392,69,1,1,1
393,69,1,1,1
394,69,7,1,1
395,69,1,1,1
396,69,1,1,1
397,69,5,1,1
398,70,1,1,1
399,71,4,1,1
400,73,1,1,1
401,74,1,1,1
402,74,1,1,1
403,74,6,1,1
404,74,15,1,1
405,74,12,1,1
406,75,1,1,1
407,75,7,1,1
408,75,1,1,1
409,76,15,1,1
410,78,1,1,1
411,78,1,1,1
412,78,1,1,1
413,79,1,1,1
414,82,1,1,1
415,82,1,1,1
416,83,1,1,1
417,83,15,1,1
